doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.15857/ksep.2023.00598,The Prolyl Hydroxylase Domain 2 (PHD2) Deficiency Enhances Maximal Exercise Capacity,Junchul Shin,2024,Exercise Science,hargreaves2020,2024_Shin_W4393205244.pdf,diamond,team,2026-06-05
10.3389/fphys.2023.1332104,Research advances in the application of metabolomics in exercise science,Shuo Qi,2024,Frontiers in Physiology,hargreaves2020,2024_Shuo-Qi_W4390883970.pdf,gold,team,2026-06-05
10.1371/journal.pone.0297848,Construction and analysis of a network of exercise-induced mitochondria-related non-coding RNA in the regulation of diabetic cardiomyopathy,Shuo Wang,2024,PLoS ONE,hargreaves2020,2024_Shuo-Wang_W4393278973.pdf,gold,team,2026-06-05
10.1016/j.heliyon.2024.e40918,Modelling energy metabolism dysregulations in neuromuscular diseases: A case study of calpainopathy,Camille Siharath,2024,Heliyon,hargreaves2020,2024_Siharath_W4405184261.pdf,gold,team,2026-06-05
10.3892/mmr.2024.13250,<i>Saururus chinensis</i> (Lour.) Baill. extract promotes skeletal muscle cell differentiation by positively regulating mitochondrial biogenesis and AKT/mTOR signaling <i>in vitro</i>,So Young Eun,2024,Molecular Medicine Reports,hargreaves2020,2024_So-Young-Eun_W4398141398.pdf,bronze,team,2026-06-05
10.1186/s13075-024-03419-1,Associations between biomarkers and skeletal muscle function in individuals with osteoarthritis: a systematic review and meta-analysis,Stephanie L. Smith,2024,Arthritis Research & Therapy,hargreaves2020,2024_Stephanie-L-Smith_W4404086889.pdf,gold,team,2026-06-05
10.14814/phy2.15952,Lactate administration induces skeletal <i>muscle</i> synthesis by influencing Akt/<scp>mTOR</scp> and <scp>MuRF1</scp> in non‐trained mice but not in trained mice,Sunghwan Kyun,2024,Physiological Reports,hargreaves2020,2024_Sunghwan-Kyun_W4392256793.pdf,gold,team,2026-06-05
10.3390/nu16172831,Exogenous Lactate Treatment Immediately after Exercise Promotes Glycogen Recovery in Type-II Muscle in Mice,Taeho Kim,2024,Nutrients,hargreaves2020,2024_Taeho-Kim_W4401893930.pdf,gold,team,2026-06-05
10.3390/metabo14020115,A Decrease in Branched-Chain Amino Acids after a Competitive Male Professional Volleyball Game—A Metabolomic-Based Approach,Taillan Martins de Oliveira,2024,Metabolites,hargreaves2020,2024_Taillan-Martins-de-Oliveira_W4391680985.pdf,gold,team,2026-06-05
10.21203/rs.3.rs-4672275/v1,Proposing adjustments to heat safety thresholds for junior high and high school sports clubs in Japan,Takahiro Oyama,2024,Research Square,hargreaves2020,2024_Takahiro-Oyama_W4401745913.pdf,green,team,2026-06-05
10.1007/s00484-024-02812-4,Proposing adjustments to heat safety thresholds for junior high and high school sports clubs in Japan,Takahiro Oyama,2024,International Journal of Biometeorology,hargreaves2020,2024_Takahiro-Oyama_W4403826105.pdf,hybrid,team,2026-06-05
10.3390/fire7120439,Physical Demand Assessment of Volunteer Firefighters During Wildland Firefighting,Tatiana Teixeira,2024,Fire,hargreaves2020,2024_Tatiana-Teixeira_W4404755671.pdf,gold,team,2026-06-05
10.1186/s41043-024-00638-9,Global hotspots and trends of nutritional supplements in sport and exercise from 2000 to 2024: a bibliometric analysis,Te Fu,2024,Journal of Health Population and Nutrition,hargreaves2020,2024_Te-Fu_W4402475304.pdf,gold,team,2026-06-05
10.1152/ajpcell.00299.2024,Transcriptomic signatures of human single skeletal muscle fibers in response to high-intensity interval exercise,Thibaux Van der Stede,2024,American Journal of Physiology-Cell Physiology,hargreaves2020,2024_Thibaux-Van-der-Stede_W4402797696.pdf,green,team,2026-06-05
10.1016/j.freeradbiomed.2024.08.010,Exercise-specific adaptations in human skeletal muscle: Molecular mechanisms of making muscles fit and mighty,Aaron C. Q. Thomas,2024,Free Radical Biology and Medicine,hargreaves2020,2024_Thomas_W4401549234.pdf,hybrid,team,2026-06-05
10.1507/endocrj.ej24-0358,Associations between muscle quality and whole-body vibration exercise-induced changes in plasma hypoxanthine following an oral glucose load in healthy male subjects,Tomoyuki Hara,2024,Endocrine Journal,hargreaves2020,2024_Tomoyuki-Hara_W4404284929.pdf,diamond,team,2026-06-05
10.1152/japplphysiol.00489.2023,NASA SPRINT exercise program efficacy for vastus lateralis and soleus skeletal muscle health during 70 days of simulated microgravity,Todd A. Trappe,2024,Journal of Applied Physiology,hargreaves2020,2024_Trappe_W4391650724.pdf,green,team,2026-06-05
10.3390/biom14121561,Sample Preparation for Metabolomic Analysis in Exercise Physiology,Valeriya I. Nakhod,2024,Biomolecules,hargreaves2020,2024_Valeriya-I-Nakhod_W4405195060.pdf,gold,team,2026-06-05
10.1038/s43587-024-00613-3,Human skeletal muscle aging atlas,Veronika R. Kedlian,2024,Nature Aging,hargreaves2020,2024_Veronika-R-Kedlian_W4394812780.pdf,hybrid,team,2026-06-05
10.53555/jptcp.v31i2.4650,EXPLORING THE IMPACT OF PHYSICAL ACTIVITY ON ELEMENTARY SCHOOL CHILDREN AMONG RURAL AND URBAN SETTINGS,Versha Verma,2024,,hargreaves2020,2024_Versha-Verma_W4392235324.pdf,gold,team,2026-06-05
10.3390/cells13231940,Impact of Physical Activity on Cellular Metabolism Across Both Neurodegenerative and General Neurological Conditions: A Narrative Review,Vicente Javier Clemente‐Suárez,2024,Cells,hargreaves2020,2024_Vicente-Javier-Clemente-Su-rez_W4404639028.pdf,gold,team,2026-06-05
